식사시간,지역,세부지역,성별,연령대,결혼유무,자녀유무,거주유무,결제업종,총결제금액,결제개수,기온,강수량,적설량,전운량,날씨_구름,날씨_비,날씨_눈
3,전라북도,전주시완산구,0.0,0.6,0.0,0.0,0.0,중식,0.10006949270326615,0.1415929203539823,0.688622754491018,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,1.0,0.4,0.0,0.0,1.0,중식,0.10771369006254343,0.23008849557522126,0.6826347305389221,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,0.0,0.6,0.0,0.0,0.0,중식,0.10006949270326615,0.1415929203539823,0.6826347305389221,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,1.0,0.4,0.0,0.0,1.0,중식,0.10771369006254343,0.23008849557522126,0.562874251497006,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,0.0,0.6,0.0,0.0,0.0,중식,0.10006949270326615,0.1415929203539823,0.562874251497006,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,1.0,0.4,0.0,0.0,1.0,중식,0.10771369006254343,0.23008849557522126,0.4850299401197604,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,0.0,0.6,0.0,0.0,0.0,중식,0.10006949270326615,0.1415929203539823,0.4850299401197604,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,1.0,0.4,0.0,0.0,1.0,중식,0.10771369006254343,0.23008849557522126,0.44311377245508976,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,0.0,0.6,0.0,0.0,0.0,중식,0.10006949270326615,0.1415929203539823,0.44311377245508976,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,1.0,0.4,0.0,0.0,1.0,중식,0.10771369006254343,0.23008849557522126,0.43113772455089816,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,0.0,0.6,0.0,0.0,0.0,중식,0.10006949270326615,0.1415929203539823,0.43113772455089816,0.0,1.0,0.0,2,0,0
4,전라북도,전주시완산구,0.0,0.8000000000000002,0.0,0.0,1.0,중식,0.2175121612230716,0.07964601769911504,0.562874251497006,0.0,1.0,0.0,2,0,0
4,전라북도,전주시완산구,0.0,0.8000000000000002,0.0,0.0,1.0,중식,0.2175121612230716,0.07964601769911504,0.6347305389221556,0.0,1.0,0.0,2,0,0
4,전라북도,전주시완산구,0.0,0.8000000000000002,0.0,0.0,1.0,중식,0.2175121612230716,0.07964601769911504,0.6826347305389221,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.8000000000000002,0.0,0.0,1.0,중식,0.07157748436414177,0.07964601769911504,0.3712574850299401,0.0,1.0,0.30000000000000004,1,0,0
3,전라북도,전주시덕진구,0.0,0.6,0.0,0.0,1.0,중식,0.32870048644892286,0.22123893805309736,0.3712574850299401,0.0,1.0,0.30000000000000004,1,0,0
